Selected filters;Start date: 2003;End date: 2026 Q1;;;;;;;;;;;;
Country name;Region;Year joined GPE;Partner countries affected by fragility and conflict;Income classification;Grant type;Grant amount;Actual approval date;Grant agent;Start date;Closing date;Grant status;Cumulative grant utilization;Disbursement from TF;GPE Grant ID
Cambodia;East Asia & Pacific;2006;No;Low income;ESPIG;US$38.500.000 ;11/19/2013;WB;05/16/2014;07/31/2017;Closed;US$38.500.000 ;US$38.500.000 ;PIG-KH-030
Cambodia;East Asia & Pacific;2006;No;Low income;ESPIG;US$57.360.855 ;05/23/2007;WB;06/13/2008;12/31/2012;Closed;US$57.360.855 ;US$57.360.856 ;CAT000075
Cambodia;East Asia & Pacific;2006;No;Low income;ESPDG;US$178.215 ;02/04/2013;UNESCO;02/08/2013;09/30/2014;Closed;US$178.215 ;US$178.215 ;EPD-KH-016
Cambodia;East Asia & Pacific;2006;No;Low income;PDG;US$156.216 ;01/23/2013;WB;02/24/2013;04/15/2014;Closed;US$156.216 ;US$156.216 ;PDG-KH-015
Cambodia;East Asia & Pacific;2006;No;Low income;PDG;US$149.590 ;11/16/2016;UNESCO;11/16/2016;05/31/2018;Closed;US$149.590 ;US$149.590 ;PDG-KH-37
Cambodia;East Asia & Pacific;2006;No;Low income;ESPDG;US$61.945 ;10/24/2016;UNICEF;10/24/2016;10/31/2016;Closed;US$61.945 ;US$61.945 ;EPD-KH-053
Cambodia;East Asia & Pacific;2006;No;Lower middle income;ESPIG;US$20.552.427 ;02/22/2018;UNESCO,UNICEF;06/01/2018;12/31/2022;Closed;US$19.768.033 ;US$18.352.427 ;GPE0000237
Cambodia;East Asia & Pacific;2006;No;Lower middle income;ESPIG (COVID-19 AF);US$6.987.363 ;08/04/2020;UNICEF;10/01/2020;03/31/2022;Closed;US$6.974.726 ;US$6.987.363 ;GPE0000575
Cambodia;East Asia & Pacific;2006;No;Lower middle income;PDG;US$154.162 ;02/03/2021;WB;02/03/2021;01/31/2022;Closed;US$154.162 ;US$154.162 ;GPE0000619
Cambodia;East Asia & Pacific;2006;No;Lower middle income;MLT;US$10.000.000 ;11/24/2021;WB;05/30/2022;06/30/2028;Active;US$4.793.915 ;US$9.750.000 ;GPE0000623
Cambodia;East Asia & Pacific;2006;No;Lower middle income;MLT;US$20.000.000 ;03/28/2024;WB;09/30/2024;06/30/2028;Active;US$5.212.692 ;US$6.000.000 ;GPE0014890
Cambodia;East Asia & Pacific;2006;No;Lower middle income;MLT-STG;US$25.390.000 ;11/27/2023;UNESCO,UNICEF;01/26/2024;02/29/2028;Active;US$7.337.718 ;US$0 ;GPE0000815
Cambodia;East Asia & Pacific;2006;No;Lower middle income;PDG;US$198.143 ;07/12/2023;UNESCO;07/13/2023;12/31/2023;Closed;-US$1.432 ;-US$1.432 ;GPE0000939
Cambodia;East Asia & Pacific;2006;No;Lower middle income;SCG;US$2.700.000 ;08/16/2023;UNICEF;09/01/2023;06/30/2027;Active;US$1.436.721 ;US$0 ;GPE0000953
Cambodia;East Asia & Pacific;2006;No;Lower middle income;PDG;US$200.000 ;09/13/2023;UNICEF;09/13/2023;04/30/2024;Closed;US$0 ;US$0 ;GPE0000962
Cambodia;East Asia & Pacific;2006;No;Lower middle income;PDG;US$199.926 ;09/19/2023;WB;09/20/2023;08/31/2024;Closed;US$0 ;US$0 ;GPE0000964
Fiji;East Asia & Pacific;2022;No;Upper middle income;SCG;US$1.381.164 ;06/02/2022;UNICEF;06/03/2022;07/01/2027;Active;US$711.359 ;US$0 ;GPE0000769
Fiji;East Asia & Pacific;2022;No;Upper middle income;STG;US$4.999.980 ;11/04/2024;UNICEF;03/17/2025;03/16/2029;Active;US$149.280 ;US$0 ;GPE0000817
Fiji;East Asia & Pacific;2022;No;Upper middle income;PDG;US$199.830 ;05/16/2024;UNICEF;05/20/2024;08/31/2024;Closed;US$0 ;US$0 ;GPE0016450
Indonesia;East Asia & Pacific;2022;No;Lower middle income;SCG;US$700.000 ;10/19/2022;UNICEF;10/20/2022;12/31/2025;Closed;US$615.398 ;US$0 ;GPE0000801
Indonesia;East Asia & Pacific;2022;No;Upper middle income;MLT;US$24.273.202 ;09/26/2024;Save the Children Australia;10/01/2024;06/30/2028;Active;US$5.180.845 ;US$0 ;GPE0014985
Indonesia;East Asia & Pacific;2022;No;Upper middle income;PDG;US$243.965 ;02/13/2024;Save the Children Australia;02/15/2024;09/30/2024;Closed;US$0 ;US$0 ;GPE0016407
Indonesia;East Asia & Pacific;2022;No;Upper middle income;SCG;US$4.000.000 ;02/01/2025;UNICEF;02/17/2025;12/31/2028;Active;US$178.730 ;US$0 ;GPE0016556
Kiribati;East Asia & Pacific;2020;No;Lower middle income;PDG;US$200.000 ;05/08/2024;UNESCO;05/08/2024;11/30/2024;Closed;US$0 ;US$0 ;GPE0016446
Kiribati;East Asia & Pacific;2020;Yes;Lower middle income;ESPDG;US$200.000 ;03/16/2015;UNICEF;03/16/2015;10/30/2016;Closed;US$200.000 ;US$200.000 ;EPD-KI-037
Kiribati;East Asia & Pacific;2020;Yes;Lower middle income;ESPDG;US$499.746 ;05/21/2019;UNICEF;05/23/2019;06/30/2021;Closed;US$499.746 ;US$499.746 ;GPE0000441
Kiribati;East Asia & Pacific;2020;Yes;Lower middle income;ESPIG (COVID-19 AF);US$750.000 ;10/21/2020;UNICEF;11/01/2020;12/31/2022;Closed;US$747.967 ;US$750.000 ;GPE0000595
Kiribati;East Asia & Pacific;2020;Yes;Lower middle income;STG;US$2.499.993 ;01/08/2025;UNESCO;04/01/2025;03/31/2029;Active;US$2.450 ;US$0 ;GPE0000827
Kiribati;East Asia & Pacific;2020;Yes;Lower middle income;SCG;US$1.000.000 ;03/02/2023;UNICEF;03/08/2023;05/31/2028;Active;US$578.025 ;US$0 ;GPE0000891
Kiribati;East Asia & Pacific;2020;Yes;Lower middle income;MLT;US$5.000.000 ;04/01/2025;ADB;01/05/2026;01/05/2030;Pending;US$0 ;US$0 ;GPE0016389
Kiribati;East Asia & Pacific;2020;Yes;Lower middle income;PDG;US$200.000 ;07/12/2024;ADB;07/17/2024;07/17/2025;Closed;US$0 ;US$0 ;GPE0016467
Lao People's Democratic Republic;East Asia & Pacific;2009;No;Low income;ESPIG;US$28.268.034 ;05/06/2010;WB;08/12/2010;08/31/2014;Closed;US$28.268.034 ;US$28.268.034 ;CAT000107
Lao People's Democratic Republic;East Asia & Pacific;2009;No;Lower middle income;ESPDG;US$246.631 ;12/06/2012;WB;12/16/2012;12/16/2013;Closed;US$246.631 ;US$246.631 ;EPD-LA-014
Lao People's Democratic Republic;East Asia & Pacific;2009;No;Lower middle income;PDG;US$199.977 ;07/29/2013;WB;07/31/2013;10/31/2014;Closed;US$199.977 ;US$199.977 ;GPE EC000224
